#scaffold	subcluster_id	asmbl_acc	cdna_accs	alignment_description
gi|68711	1	asmbl_1	gi|20152527|emb|AJ441075.1|ATH441075,gi|19742789|gb|AU228142.1|AU228142,gi|71036927|gb|DR751587.1|DR751587,gi|85919645|gb|DR240610.1|DR240610,gi|8730708|gb|AV559282.1|AV559282,gi|8734496|gb|AV563070.1|AV563070,gi|26450254|dbj|AK117587.1|,c5397_g0_i1,c7160_g0_i1,c7195_g0_i1,c924_g0_i1,c1186_g0_i1,c302_g0_i1,c324_g0_i1,c4287_g0_i1,c4288_g0_i1,c894_g0_i1,gi|19798042|gb|AU229610.1|AU229610,gi|19877593|gb|AU238424.1|AU238424,gi|71036928|gb|DR751588.1|DR751588	orient(a+/s+) align: 5453(1)-6121(669)>GT....AG<7214(670)-7404(860)>GT....AG<8378(861)-8666(1149)
gi|68711	2	asmbl_2	gi|20152527|emb|AJ441075.1|ATH441075,gi|19742789|gb|AU228142.1|AU228142,gi|71036927|gb|DR751587.1|DR751587,gi|85919645|gb|DR240610.1|DR240610,c5397_g0_i1,c924_g0_i1,c302_g0_i1,c4287_g0_i1,c3212_g0_i1,c4288_g0_i1,c6720_g0_i1,c7156_g0_i1,gi|56088002|gb|BP562904.2|BP562904,gi|71036928|gb|DR751588.1|DR751588,gi|86082463|gb|DR378222.1|DR378222,gi|8730273|gb|AV558847.1|AV558847	orient(a+/s?) align: 5453(1)-6477(1025)
gi|68711	3	asmbl_3	c2001_g0_i1,c2504_g0_i1,c4016_g0_i1,gi|48989496|gb|BP573730.1|BP573730,gi|59906223|gb|BP845250.1|BP845250,gi|86066807|gb|DR362564.1|DR362564,gi|42533717|gb|BX839634.1|BX839634,gi|48990638|gb|BP574872.1|BP574872,gi|49231624|gb|BP601380.1|BP601380,gi|49252909|gb|BP605396.1|BP605396,gi|53828526|gb|BT015810.1|,gi|59791635|gb|BP796201.1|BP796201,gi|59793247|gb|BP797053.1|BP797053,c6583_g0_i1,c2238_g0_i1,c2250_g0_i1,c2542_g0_i1,c3178_g0_i1,c3529_g0_i1,c3541_g0_i1,c1679_g0_i1,c1877_g0_i1,c2348_g0_i1,c287_g0_i1,c3065_g0_i1,c3710_g0_i1,c6584_g0_i1,c6775_g0_i1,c863_g0_i1,gi|19741647|gb|AU227000.1|AU227000,gi|19875340|gb|AU236171.1|AU236171,gi|42455259|emb|BX842025.1|CNS09Y86,gi|42469342|emb|BX818792.1|CNS0A9WU,gi|49031483|gb|BP582273.1|BP582273,gi|49317832|gb|BP666329.1|BP666329,gi|59846715|gb|BP810636.1|BP810636,gi|86066808|gb|DR362565.1|DR362565,gi|86087708|gb|DR383467.1|DR383467	orient(a+/s+) align: 8897(1)-9207(311)>GT....AG<9290(312)-9396(418)>GT....AG<9477(419)-9560(502)>GT....AG<9655(503)-9730(578)>GT....AG<10021(579)-10065(623)>GT....AG<10165(624)-10539(998)>GT....AG<10620(999)-10688(1067)>GT....AG<10800(1068)-10864(1132)>GT....AG<10953(1133)-11021(1201)>GT....AG<11096(1202)-11168(1274)>GT....AG<11249(1275)-11353(1379)>GT....AG<11471(1380)-11542(1451)>GT....AG<11627(1452)-11689(1514)>GT....AG<11778(1515)-12222(1959)
gi|68711	4	asmbl_4	gi|86011488|gb|DR307234.1|DR307234,gi|86011496|gb|DR307242.1|DR307242,gi|86011502|gb|DR307248.1|DR307248,gi|935118|gb|T76083.1|T76083,c203_g0_i1,c933_g0_i1,c1054_g0_i1,c2287_g0_i1,c2383_g0_i1,c4011_g0_i1,c4031_g0_i1,c6082_g0_i1,c6090_g0_i1,c6928_g0_i1,c7242_g0_i1,gi|49284043|gb|BP632791.1|BP632791,gi|59926144|gb|BP865171.1|BP865171,gi|86011490|gb|DR307236.1|DR307236,gi|86011492|gb|DR307238.1|DR307238,gi|86011494|gb|DR307240.1|DR307240,gi|86011498|gb|DR307244.1|DR307244,gi|86011500|gb|DR307246.1|DR307246,gi|86011501|gb|DR307247.1|DR307247,gi|86011503|gb|DR307249.1|DR307249,gi|86011504|gb|DR307250.1|DR307250,gi|86011505|gb|DR307251.1|DR307251,gi|8693447|gb|AV533164.1|AV533164,gi|20260067|gb|AY093382.1|,gi|21407858|gb|AY089084.1|,gi|17065367|gb|AY062760.1|,gi|48989142|gb|BP573376.1|BP573376,gi|48992850|gb|BP577084.1|BP577084,gi|49034024|gb|BP584814.1|BP584814,gi|59667437|gb|BP794923.1|BP794923,gi|59905871|gb|BP844900.1|BP844900,gi|59908130|gb|BP847157.1|BP847157,gi|59925713|gb|BP864740.1|BP864740,gi|59927779|gb|BP866806.1|BP866806,gi|7611638|gb|AV441254.1|AV441254,gi|7613066|gb|AV442653.1|AV442653,gi|19830141|gb|AV796158.1|AV796158,c6076_g0_i1,c6078_g0_i1,c6080_g0_i1,c6084_g0_i1,c6086_g0_i1,c6087_g0_i1,c6088_g0_i1,c6089_g0_i1,c6091_g0_i1,c6092_g0_i1,c2234_g0_i1,c2796_g0_i1,c3516_g0_i1,c4177_g0_i1,c4181_g0_i1,c4193_g0_i1,c4329_g0_i1,c4344_g0_i1,c488_g0_i1,c1303_g0_i1,c1493_g0_i1,c2022_g0_i1,c2722_g0_i1,c3535_g0_i1,c36_g0_i1,c37_g0_i1,c5263_g0_i1,c6093_g0_i1,c6676_g0_i1,c6731_g0_i1,c7233_g0_i1,c775_g0_i1,gi|1158493|gb|N37351.1|N37351,gi|1158502|gb|N37360.1|N37360,gi|19868798|gb|AV826738.1|AV826738,gi|2763638|gb|T76290.1|T76290,gi|3449693|gb|AI099954.1|AI099954,gi|42535665|gb|AJ627119.1|AJ627119,gi|49275596|gb|BP624344.1|BP624344,gi|59793026|gb|BP796942.1|BP796942,gi|85914855|gb|DR235820.1|DR235820,gi|86011499|gb|DR307245.1|DR307245,gi|86078812|gb|DR374569.1|DR374569,gi|86083745|gb|DR379504.1|DR379504,gi|930714|gb|T04588.1|T04588	orient(a+/s+) align: 12846(1)-13060(215)>GT....AG<13411(216)-13550(355)>GT....AG<13677(356)-13802(481)>GT....AG<13876(482)-14351(957)
gi|68711	4	asmbl_5	gi|86011491|gb|DR307237.1|DR307237,gi|935118|gb|T76083.1|T76083,c2287_g0_i1,c2383_g0_i1,c6077_g0_i1,c7242_g0_i1,gi|49284043|gb|BP632791.1|BP632791,gi|19805105|gb|AV786315.1|AV786315,gi|59921085|gb|BP860112.1|BP860112,gi|86011489|gb|DR307235.1|DR307235,gi|86011490|gb|DR307236.1|DR307236,gi|86011492|gb|DR307238.1|DR307238,gi|86011506|gb|DR307252.1|DR307252,gi|48989142|gb|BP573376.1|BP573376,gi|48992850|gb|BP577084.1|BP577084,gi|49034024|gb|BP584814.1|BP584814,gi|59925713|gb|BP864740.1|BP864740,gi|19830141|gb|AV796158.1|AV796158,c6078_g0_i1,c6079_g0_i1,c6080_g0_i1,c6094_g0_i1,c2234_g0_i1,c2796_g0_i1,c398_g0_i1,c4134_g0_i1,c4177_g0_i1,c488_g0_i1,c1303_g0_i1,c1493_g0_i1,c2022_g0_i1,c2722_g0_i1,c5263_g0_i1,c6081_g0_i1,c6083_g0_i1,c6731_g0_i1,gi|2763638|gb|T76290.1|T76290,gi|3449693|gb|AI099954.1|AI099954,gi|42535665|gb|AJ627119.1|AJ627119,gi|49275596|gb|BP624344.1|BP624344,gi|85914855|gb|DR235820.1|DR235820,gi|86011493|gb|DR307239.1|DR307239,gi|86011495|gb|DR307241.1|DR307241,gi|86083745|gb|DR379504.1|DR379504	orient(a+/s+) align: 12899(1)-13060(162)>GT....AG<13411(163)-13553(305)>GT....AG<13677(306)-13802(431)>GT....AG<13876(432)-14351(907)
gi|68711	4	asmbl_6	gi|86011502|gb|DR307248.1|DR307248,gi|935118|gb|T76083.1|T76083,c4011_g0_i1,c4031_g0_i1,c6085_g0_i1,c6090_g0_i1,c7242_g0_i1,gi|59926144|gb|BP865171.1|BP865171,gi|86011490|gb|DR307236.1|DR307236,gi|86011497|gb|DR307243.1|DR307243,gi|59905871|gb|BP844900.1|BP844900,gi|59908130|gb|BP847157.1|BP847157,gi|59925713|gb|BP864740.1|BP864740,gi|59927779|gb|BP866806.1|BP866806,c6078_g0_i1,c4177_g0_i1,c4181_g0_i1,c4193_g0_i1,c2022_g0_i1,c3535_g0_i1,c5263_g0_i1,c7233_g0_i1,gi|42535665|gb|AJ627119.1|AJ627119,gi|59793026|gb|BP796942.1|BP796942,gi|85914855|gb|DR235820.1|DR235820,gi|930714|gb|T04588.1|T04588	orient(a+/s+) align: 12868(1)-13060(193)>GT....AG<13411(194)-13550(333)>GT....AG<13677(334)-13799(456)>GT....AG<13876(457)-13905(486)
gi|68711	5	asmbl_7	c914_g0_i1,c1675_g0_i1,c1683_g0_i1,gi|14994264|gb|AY044326.1|,gi|42455327|emb|BX842095.1|CNS09YAN,gi|59889001|gb|BP835815.1|BP835815,gi|19878525|gb|AU239356.1|AU239356,gi|26452009|dbj|AK118491.1|,gi|42454622|emb|BX841980.1|CNS09Y2Y,gi|42468632|emb|BX821481.1|CNS0A959,gi|5843826|gb|AI996921.1|AI996921,gi|19799363|gb|AU230653.1|AU230653,c1203_g0_i1,c126_g0_i1,c1844_g0_i1,c3318_g0_i1,c345_g0_i1,c3941_g0_i1,c2975_g0_i1,gi|49307532|gb|BP656062.1|BP656062	orient(a+/s?) align: 20279(1)-21456(1178)
gi|68711	6	asmbl_8	c84_g0_i1,c1807_g0_i1,c2974_g0_i1,gi|396647|gb|Z25511.1|Z25511,gi|49309057|gb|BP657587.1|BP657587,gi|13398925|emb|AJ276619.1|ATH276619,gi|2763490|gb|T75631.1|T75631,gi|3449686|gb|AI099947.1|AI099947,gi|42468157|emb|BX819622.1|CNS0A8V4,gi|42468158|emb|BX819625.1|CNS0A8VN,gi|42528978|gb|BX835128.1|BX835128,gi|49293117|gb|BP641647.1|BP641647,gi|49294600|gb|BP643130.1|BP643130,gi|11125656|emb|AJ294534.1|ATH294534,gi|49299685|gb|BP648215.1|BP648215,gi|49307485|gb|BP656015.1|BP656015,gi|19799120|gb|AU230410.1|AU230410,c6943_g0_i1,c1300_g0_i1,c1492_g0_i1,c1540_g0_i1,c1808_g0_i1,c1945_g0_i1,c2865_g0_i1,c2877_g0_i1,c29_g0_i1,c2912_g0_i1,c2987_g0_i1,c339_g0_i1,c1989_g0_i1,c6530_g0_i1,c969_g0_i1,gi|2048017|gb|AA394820.1|AA394820,gi|42532609|gb|BX838526.1|BX838526,gi|86063090|gb|DR358847.1|DR358847,gi|8695093|gb|AV534810.1|AV534810	orient(a-/s-) align: 33357(2391)-34232(1516)>CT....AC<34328(1515)-34397(1446)>CT....AC<34524(1445)-34767(1202)>CT....AC<34941(1201)-35017(1125)>CT....AC<35107(1124)-35172(1059)>CT....AC<35293(1058)-35341(1010)>CT....AC<35448(1009)-35498(959)>CT....AC<35580(958)-35638(900)>CT....AC<35737(899)-35788(848)>CT....AC<35915(847)-36089(673)>CT....AC<36174(672)-36227(619)>CT....AC<36362(618)-36548(432)>CT....AC<37065(431)-37495(1)
gi|68711	6	asmbl_9	c10_g0_i1,c1807_g0_i1,c2974_g0_i1,gi|396647|gb|Z25511.1|Z25511,gi|49309057|gb|BP657587.1|BP657587,gi|10443852|gb|AF242582.1|AF242582,gi|2763490|gb|T75631.1|T75631,gi|3449686|gb|AI099947.1|AI099947,gi|42468094|emb|BX819464.1|CNS0A8YA,gi|42468157|emb|BX819622.1|CNS0A8V4,gi|42468158|emb|BX819625.1|CNS0A8VN,gi|42528978|gb|BX835128.1|BX835128,gi|49293117|gb|BP641647.1|BP641647,gi|49294600|gb|BP643130.1|BP643130,gi|49299685|gb|BP648215.1|BP648215,gi|49307485|gb|BP656015.1|BP656015,gi|19799120|gb|AU230410.1|AU230410,c6943_g0_i1,c1300_g0_i1,c1492_g0_i1,c1540_g0_i1,c1803_g0_i1,c1808_g0_i1,c1945_g0_i1,c2865_g0_i1,c2877_g0_i1,c2912_g0_i1,c2987_g0_i1,c339_g0_i1,c1989_g0_i1,c6530_g0_i1,c969_g0_i1,gi|2048017|gb|AA394820.1|AA394820,gi|42532609|gb|BX838526.1|BX838526,gi|86063090|gb|DR358847.1|DR358847,gi|8695093|gb|AV534810.1|AV534810	orient(a-/s-) align: 33357(2385)-34232(1510)>CT....AC<34328(1509)-34397(1440)>CT....AC<34524(1439)-34767(1196)>CT....AC<34941(1195)-35017(1119)>CT....AC<35107(1118)-35172(1053)>CT....AC<35293(1052)-35341(1004)>CT....AC<35448(1003)-35498(953)>CT....AC<35580(952)-35632(900)>CT....AC<35737(899)-35788(848)>CT....AC<35915(847)-36089(673)>CT....AC<36174(672)-36227(619)>CT....AC<36362(618)-36548(432)>CT....AC<37065(431)-37495(1)
gi|68711	7	asmbl_10	gi|19878302|gb|AU239133.1|AU239133,gi|21403853|gb|AY085143.1|,c2974_g0_i1,gi|26451593|dbj|AK118276.1|,gi|49309057|gb|BP657587.1|BP657587,gi|59854264|gb|BP818164.1|BP818164,gi|49293117|gb|BP641647.1|BP641647,gi|49294600|gb|BP643130.1|BP643130,gi|49299685|gb|BP648215.1|BP648215,gi|49307485|gb|BP656015.1|BP656015,gi|19799120|gb|AU230410.1|AU230410,c908_g0_i1,c1006_g0_i1,c1199_g0_i1,c2865_g0_i1,c2877_g0_i1,c2912_g0_i1,c2987_g0_i1,c339_g0_i1,c3787_g0_i1,c1914_g0_i1,c3818_g0_i1,c3890_g0_i1,c3934_g0_i1,c5228_g0_i1,c6218_g0_i1,gi|42470119|emb|BX819422.1|CNS0AAEB,gi|59875038|gb|BP822098.1|BP822098,gi|59884162|gb|BP830976.1|BP830976,gi|59888350|gb|BP835164.1|BP835164,gi|85910436|gb|DR231401.1|DR231401,gi|86031641|gb|DR327394.1|DR327394	orient(a+/s+) align: 31440(1)-31565(126)>GT....AG<31654(127)-31773(246)>GT....AG<31864(247)-31919(302)>GT....AG<32009(303)-32107(401)>GT....AG<32534(402)-32590(458)>GT....AG<32698(459)-32761(522)>GT....AG<32865(523)-32999(657)>GT....AG<33109(658)-33192(741)>GT....AG<33299(742)-33875(1318)
